Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2023,3369.70,3393.80,3356.20,3361.65,3372.983864357055029445,46357,5393,156361413.00,26567,57.31,37.60,-8.05
19-January-2023,3380.00,3387.10,3360.55,3372.40,3377.055214485545539322,77208,8169,260735679.00,40166,52.02,26.55,-7.60
18-January-2023,3373.55,3407.65,3371.00,3390.55,3391.426341381778963712,107557,12500,364771643.00,72406,67.32,36.65,17.00
17-January-2023,3334.00,3383.00,3319.75,3378.85,3361.373230341469032518,121563,11422,408618614.00,74165,61.01,63.25,44.85
16-January-2023,3320.00,3352.40,3298.75,3334.40,3327.225774938361581044,64489,6825,214569463.00,30334,47.04,53.65,14.40
13-January-2023,3349.00,3379.10,3305.20,3374.20,3351.183652804358172078,98757,11171,330952844.00,45820,46.40,73.90,25.20
12-January-2023,3333.00,3350.00,3316.00,3334.60,3332.883943903835145964,83856,9799,279482316.00,47970,57.21,34.00,1.60
11-January-2023,3289.00,3349.00,3272.00,3328.85,3327.945797773911122158,72414,7258,240989867.00,34917,48.22,77.00,39.85
10-January-2023,3290.00,3292.50,3231.00,3286.20,3258.927305861037374120,94932,9569,309376487.00,28873,30.41,61.50,-3.80
9-January-2023,3243.90,3327.80,3215.30,3319.70,3302.841010990050987211,169062,18323,558384907.00,89801,53.12,112.50,75.80
6-January-2023,3300.00,3300.05,3200.00,3212.00,3236.275430598322217023,91907,11218,297436366.00,70141,76.32,100.05,-88.00
5-January-2023,3330.00,3336.10,3283.10,3310.35,3310.488515737692791359,54074,6833,179011356.00,35771,66.15,53.00,-19.65
4-January-2023,3304.00,3326.85,3286.85,3314.05,3308.766556291390728476,42280,2975,139894650.00,28731,67.95,40.00,10.05
3-January-2023,3260.00,3319.55,3247.70,3310.85,3293.067179754761283589,45996,3922,151467918.00,22341,48.57,71.85,50.85
2-January-2023,3265.00,3267.00,3235.85,3260.65,3255.635813940587468449,72106,10500,234750876.00,46718,64.79,31.15,-4.35
30-December-2022,3285.00,3299.05,3246.75,3259.25,3288.159987698323347374,182089,17368,598737764.00,145362,79.83,52.30,-25.75
29-December-2022,3233.00,3271.00,3229.05,3269.25,3253.537259048086544452,52967,4095,172330108.00,34901,65.89,41.95,36.25
28-December-2022,3245.00,3266.95,3226.80,3256.30,3254.991402835132459127,41409,4161,134785939.00,23383,56.47,40.15,11.30
27-December-2022,3265.00,3273.95,3230.60,3259.05,3252.169850642584230635,34548,6333,112355964.00,15275,44.21,43.35,-5.95
26-December-2022,3225.00,3271.95,3225.00,3255.85,3254.791278943951525643,18484,2852,60161562.00,8917,48.24,46.95,30.85
23-December-2022,3235.10,3265.85,3218.70,3227.30,3242.978379962576369006,88714,7652,287697584.00,53289,60.07,47.15,-7.80
22-December-2022,3288.00,3290.95,3244.60,3258.70,3258.457955482275350370,41242,4430,134385323.00,23469,56.91,46.35,-29.30
21-December-2022,3249.00,3283.00,3239.35,3267.15,3253.758233072802318433,91096,8311,296404360.00,58850,64.60,43.65,18.15
20-December-2022,3201.00,3248.05,3164.00,3242.90,3203.774805685876339191,28562,3849,91506216.00,8545,29.92,84.05,41.90
19-December-2022,3234.00,3246.00,3195.00,3201.60,3211.309176139177129526,90877,9379,291834144.00,75544,83.13,51.00,-32.40
16-December-2022,3280.00,3291.10,3225.10,3238.10,3268.592129123143555082,66727,5927,218103347.00,46039,69.00,66.00,-41.90
15-December-2022,3364.00,3364.00,3300.00,3304.55,3319.365562513342346829,56212,5581,186588177.00,41776,74.32,64.00,-59.45
14-December-2022,3341.00,3378.05,3341.00,3364.70,3362.839045100930492703,39334,3367,132273911.00,21598,54.91,37.05,23.70
13-December-2022,3280.20,3339.40,3269.00,3331.90,3308.823320404676015080,36869,3381,121993007.00,17407,47.21,70.40,51.70
12-December-2022,3250.00,3295.00,3236.35,3284.50,3276.450279998503348757,80179,5593,262702507.00,46648,58.18,58.65,34.50
9-December-2022,3366.00,3372.00,3277.00,3292.65,3309.711086242478853588,68806,6645,227727981.00,34320,49.88,95.00,-73.35
8-December-2022,3374.00,3374.00,3339.05,3350.30,3354.769003128434937008,106443,12988,357091677.00,72498,68.11,34.95,-23.70
7-December-2022,3367.00,3394.65,3354.05,3380.60,3376.519258801183797870,45278,3143,152882039.00,28285,62.47,40.60,13.60
6-December-2022,3400.00,3407.85,3367.85,3384.35,3379.428404314378618447,50436,4375,170444851.00,33101,65.63,40.00,-15.65
5-December-2022,3424.00,3435.85,3407.30,3425.00,3419.165365069154068832,77725,9066,265754628.00,35227,45.32,28.55,1.00
2-December-2022,3460.00,3468.00,3414.00,3439.25,3427.121811943664675256,83358,8659,285678020.00,56659,67.97,54.00,-20.75
1-December-2022,3421.00,3479.65,3421.00,3475.10,3467.791887340723289052,261887,22794,908169614.00,151771,57.95,58.65,54.10
30-November-2022,3390.00,3413.15,3375.05,3392.40,3396.181552613586922742,32178,3470,109282330.00,12147,37.75,38.10,2.40
29-November-2022,3380.25,3428.00,3380.25,3397.10,3414.178478917829903583,166776,11781,569403030.00,77399,46.41,47.75,16.85
28-November-2022,3371.00,3416.20,3365.00,3397.40,3403.082858454923080134,95814,7911,326062981.00,72197,75.35,51.20,26.40
25-November-2022,3378.00,3402.00,3348.00,3388.85,3373.409080773042616451,80720,7292,272301581.00,42054,52.10,54.00,10.85
24-November-2022,3315.00,3392.00,3307.05,3378.50,3353.478622003450320053,150131,15990,503461099.00,103441,68.90,84.95,63.50
23-November-2022,3330.00,3330.00,3290.75,3310.40,3312.453771871115785447,73213,3546,242514678.00,23831,32.55,39.25,-19.60
22-November-2022,3272.00,3318.95,3255.05,3314.25,3284.721968305497415744,23411,2531,76898626.00,9681,41.35,63.90,42.25
21-November-2022,3330.00,3332.20,3274.70,3282.30,3297.751349902347489756,26113,3296,86114181.00,11078,42.42,57.50,-47.70
18-November-2022,3346.00,3361.40,3321.15,3341.80,3337.914038373917885890,138271,12901,461536712.00,,,40.25,-4.20
17-November-2022,3343.00,3358.65,3318.30,3351.40,3344.196364955095249269,46877,3642,156765893.00,31083,66.31,40.35,8.40
16-November-2022,3334.00,3367.00,3322.05,3354.05,3353.308655926293553231,196455,14413,658774252.00,93391,47.54,44.95,20.05
15-November-2022,3325.00,3341.15,3291.80,3332.65,3325.711924616913026462,132868,3978,441880692.00,113872,85.70,49.35,7.65
14-November-2022,3321.00,3349.00,3307.30,3334.05,3331.409321566464423607,145040,12466,483187608.00,73537,50.70,41.70,13.05
11-November-2022,3262.00,3341.25,3253.60,3316.10,3316.195669370473393115,308454,29253,1022893819.00,216966,70.34,87.65,54.10
10-November-2022,3175.00,3225.15,3172.40,3206.00,3214.227402382815897034,114990,12219,369604009.00,92083,80.08,52.75,31.00
9-November-2022,3236.00,3245.60,3202.00,3215.95,3222.978412178508951501,107468,9970,346367044.00,58050,54.02,43.60,-20.05
7-November-2022,3225.00,3242.00,3196.15,3234.25,3221.854593119595056924,121301,7772,390814184.00,98309,81.05,45.85,9.25
4-November-2022,3207.15,3220.00,3168.00,3216.30,3190.088300771162442786,112298,9674,358240536.00,63006,56.11,52.00,9.15
