Scrip Code,COMPANY,ISIN No.,Close Price
500820,Asian Paints Ltd,INE021A01026,2788.1
532215,Axis Bank Ltd,INE238A01034,930.7
500034,Bajaj Finance Ltd,INE296A01024,5857.9
532978,Bajaj Finserv Ltd,INE918I01026,1333.25
532454,Bharti Airtel Ltd,INE397D01024,764.4
532281,HCL Technologies Ltd,INE860A01027,1107.75
500180,HDFC Bank Ltd,INE040A01034,1660.8
500696,Hindustan Unilever Ltd,INE030A01027,2548.35
500010,Housing Development Finance Corp,INE001A01036,2715.55
532174,ICICI Bank Ltd,INE090A01021,870.4
532187,IndusInd Bank Ltd,INE095A01012,1202.3
500209,Infosys Ltd,INE009A01021,1525.45
500875,ITC Ltd,INE154A01025,334.7
500247,Kotak Mahindra Bank Ltd,INE237A01028,1763.25
500510,Larsen & Toubro Ltd,INE018A01030,2246.45
500520,Mahindra & Mahindra Ltd,INE101A01026,1315.05
532500,Maruti Suzuki India Ltd,INE585B01010,8443.6
500790,Nestle India Ltd,INE239A01016,19199.45
532555,NTPC Ltd,INE733E01010,168.7
532898,Power Grid Corp of India Ltd,INE752E01010,223.2
500325,Reliance Industries Ltd,INE002A01018,2442.7
500112,State Bank of India,INE062A01020,592.1
524715,Sun Pharmaceutical Industries Ltd,INE044A01036,1030.1
532540,Tata Consultancy Services Ltd,INE467B01029,3361.65
500570,Tata Motors Ltd,INE155A01022,403.1
500470,Tata Steel Ltd,INE081A01020,122.9
532755,Tech Mahindra Ltd,INE669C01036,1047.8
500114,Titan Co Ltd,INE280A01028,2371.9
532538,UltraTech Cement Ltd,INE481G01011,7178.25
507685,Wipro Ltd,INE075A01022,403.15
