Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2023,730.35,742.45,717.30,722.50,732.613653846153846153,5200,687,3809591.00,3393,65.25,25.15,-7.85
19-January-2023,735.45,751.15,734.45,740.35,741.022496959870287798,4934,501,3656205.00,2712,54.97,16.70,4.90
18-January-2023,747.95,749.15,732.90,736.55,739.718684603886397608,3345,463,2474359.00,2342,70.01,16.25,-11.40
17-January-2023,738.60,750.85,734.45,744.45,744.017938237965485921,4404,467,3276655.00,2787,63.28,16.40,5.85
16-January-2023,748.00,751.00,733.50,736.10,739.806706114398422090,4563,586,3375738.00,1878,41.16,17.50,-11.90
13-January-2023,717.95,750.00,713.25,741.35,738.130734876167275680,7389,1020,5454048.00,3131,42.37,36.75,23.40
12-January-2023,710.25,717.80,705.00,713.45,711.397178683385579937,3190,548,2269357.00,1866,58.50,12.80,3.20
11-January-2023,711.20,716.20,707.45,711.80,712.361759425493716337,1114,218,793571.00,607,54.49,8.75,0.60
10-January-2023,719.00,719.00,705.00,708.95,712.017205123303383674,5231,574,3724562.00,3943,75.38,14.00,-10.05
9-January-2023,712.00,715.45,706.00,714.60,712.111528822055137844,4788,467,3409590.00,3219,67.23,9.45,2.60
6-January-2023,703.80,710.95,701.00,703.20,705.007507507507507507,2664,228,1878140.00,1396,52.40,9.95,-0.60
5-January-2023,726.00,726.00,702.00,705.05,707.910857495373226403,3242,369,2295047.00,1634,50.40,24.00,-20.95
4-January-2023,711.00,728.50,710.00,716.05,720.130505050505050505,17325,1694,12476261.00,7742,44.69,18.50,5.05
3-January-2023,699.00,714.50,694.40,711.95,704.117779622820543233,8431,699,5936417.00,5701,67.62,20.10,12.95
2-January-2023,697.95,699.75,686.20,696.15,695.464171122994652406,2805,427,1950777.00,1305,46.52,13.55,-1.80
30-December-2022,692.20,696.10,683.25,686.35,690.358341790928253571,12809,588,8842800.00,9173,71.61,12.85,-5.85
29-December-2022,690.70,696.50,685.05,691.45,690.926470588235294117,1224,183,845694.00,501,40.93,11.45,0.75
28-December-2022,697.00,705.10,691.60,692.90,697.280254777070063694,3140,350,2189460.00,901,28.69,13.50,-4.10
27-December-2022,680.10,698.35,680.10,695.40,690.578128472993998666,4499,461,3106911.00,2638,58.64,18.25,15.30
26-December-2022,676.00,699.70,670.00,686.20,686.940625365967911933,8539,865,5865786.00,4114,48.18,29.70,10.20
23-December-2022,701.00,701.00,675.00,677.00,685.259206121472979435,4182,504,2865754.00,1427,34.12,26.00,-24.00
22-December-2022,714.60,714.60,688.20,703.15,700.659440526340701472,21127,1368,14802832.00,16459,77.90,26.40,-11.45
21-December-2022,720.95,728.05,696.30,707.30,712.515567657156386882,8447,742,6018619.00,2329,27.57,31.75,-13.65
20-December-2022,703.45,721.30,698.50,717.40,712.351526965562053281,9234,894,6577854.00,2936,31.80,22.80,13.95
19-December-2022,707.15,711.50,692.60,700.30,700.291262135922330097,3914,436,2740940.00,1197,30.58,18.90,-6.85
16-December-2022,706.05,713.90,698.00,706.90,706.720708446866485013,11744,1040,8299728.00,3926,33.43,15.90,0.85
15-December-2022,676.30,722.80,676.30,707.05,708.377887228260869565,64768,4292,45880219.00,24215,37.39,46.50,30.75
14-December-2022,657.25,678.85,656.65,676.30,665.304774570588345477,320322,701,213111756.00,313908,98.00,22.20,19.05
13-December-2022,663.00,665.60,655.00,656.10,658.508758371973209685,11646,1124,7668993.00,7589,65.16,10.60,-6.90
12-December-2022,666.00,668.75,660.00,666.85,664.429054477144646211,7985,633,5305466.00,4311,53.99,8.75,0.85
9-December-2022,665.00,667.95,660.85,664.45,664.287729799059427105,2339,231,1553769.00,1262,53.95,7.10,-0.55
8-December-2022,669.10,669.10,660.90,662.85,663.460442260442260442,8140,586,5400568.00,4401,54.07,8.20,-6.25
7-December-2022,673.95,673.95,651.00,661.80,661.649105291452269410,13021,903,8615333.00,8239,63.27,22.95,-12.15
6-December-2022,667.25,675.75,666.05,668.15,669.636110813990801155,9349,809,6260428.00,5677,60.72,9.70,0.90
5-December-2022,666.00,672.25,664.30,668.75,668.366439467705290490,15405,1031,10296185.00,10504,68.19,7.95,2.75
2-December-2022,666.55,667.75,662.50,666.45,665.090671076202287446,7257,612,4826563.00,4224,58.21,5.25,-0.10
1-December-2022,666.55,671.00,664.35,665.95,667.003806056594406751,12086,821,8061408.00,6085,50.35,6.65,-0.60
30-November-2022,664.55,669.00,661.25,663.35,665.205967276227141482,3117,330,2073447.00,1561,50.08,7.75,-1.20
